"subject_id","rt","congruent","condition","rt_category_vector","age","rt_category_loop","rt_category_vec"
1,573,FALSE,"control","Slow",40,"Slow","Slow"
2,NA,FALSE,"incongruent","Unknown",35,"Unknown","Unknown"
3,424,FALSE,"control","Fast",64,"Fast","Fast"
4,436,FALSE,"control","Fast",24,"Fast","Fast"
5,540,FALSE,"control","Slow",60,"Slow","Slow"
6,612,FALSE,"incongruent","Slow",50,"Slow","Slow"
7,591,FALSE,"control","Slow",55,"Slow","Slow"
8,662,TRUE,"incongruent","Slow",24,"Slow","Slow"
9,445,FALSE,"control","Fast",29,"Fast","Fast"
10,563,FALSE,"control","Slow",46,"Slow","Slow"
11,437,FALSE,"control","Fast",60,"Fast","Fast"
12,401,TRUE,"incongruent","Fast",48,"Fast","Fast"
13,594,FALSE,"control","Slow",58,"Slow","Slow"
14,NA,TRUE,"incongruent","Unknown",63,"Unknown","Unknown"
15,643,FALSE,"control","Slow",46,"Slow","Slow"
16,675,FALSE,"control","Slow",29,"Slow","Slow"
17,578,FALSE,"incongruent","Slow",19,"Slow","Slow"
18,524,TRUE,"control","Slow",38,"Slow","Slow"
19,511,FALSE,"incongruent","Slow",20,"Slow","Slow"
20,517,FALSE,"control","Slow",34,"Slow","Slow"
21,478,TRUE,"control","Fast",54,"Fast","Fast"
22,629,FALSE,"incongruent","Slow",29,"Slow","Slow"
23,504,FALSE,"control","Slow",36,"Slow","Slow"
24,522,FALSE,"incongruent","Slow",24,"Slow","Slow"
25,452,FALSE,"control","Fast",30,"Fast","Fast"
26,457,TRUE,"incongruent","Fast",34,"Fast","Fast"
27,677,FALSE,"control","Slow",21,"Slow","Slow"
28,271,TRUE,"control","Fast",34,"Fast","Fast"
29,531,TRUE,"control","Slow",18,"Slow","Slow"
30,415,FALSE,"control","Fast",41,"Fast","Fast"
31,577,TRUE,"incongruent","Slow",39,"Slow","Slow"
32,345,FALSE,"incongruent","Fast",41,"Fast","Fast"
33,467,TRUE,"control","Fast",30,"Fast","Fast"
34,634,FALSE,"incongruent","Slow",48,"Slow","Slow"
35,455,TRUE,"control","Fast",62,"Fast","Fast"
36,578,FALSE,"control","Slow",53,"Slow","Slow"
37,548,FALSE,"control","Slow",18,"Slow","Slow"
38,516,FALSE,"control","Slow",63,"Slow","Slow"
39,401,TRUE,"control","Fast",23,"Fast","Fast"
40,542,TRUE,"control","Slow",47,"Slow","Slow"
